,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
0,756,1094,1780,2773,4365,5847,6437,6419,7166,11412,9241,611,3
5,703,1120,1759,2848,4206,5658,6281,6842,8246,14320,6908,219,2
10,591,944,1420,2336,3548,4828,5847,6049,8035,11926,8036,997,6
15,465,753,1114,2159,3501,4212,4619,4879,5248,6085,11278,8644,483
20,556,762,1191,1834,2864,4065,4767,5054,5439,5632,8968,11652,827
25,455,683,956,1531,2286,3069,3804,4262,4555,5091,8996,10320,982
30,401,614,939,1377,2099,2729,3425,3887,4193,4713,7929,10471,1350
35,496,636,930,1531,2142,2926,3498,4258,4706,5133,7355,12705,2000
40,588,834,1184,1623,2222,2980,3763,4541,5071,5393,6146,12072,5402
45,524,663,859,1318,1799,2371,3016,3673,4162,4703,5486,9626,4002
50,615,819,1088,1440,1965,2454,2937,3712,4161,4585,5213,8545,2810
55,647,848,1102,1493,1926,2336,2830,3196,3761,4138,4806,8995,1764
60,603,773,1032,1196,1671,2043,2576,2893,3364,3734,4420,8719,1936
65,520,634,838,1066,1437,1756,2211,2585,3053,3367,4383,8188,2138
70,471,590,676,910,1167,1540,1926,2263,2630,3132,4050,7727,2887
75,470,500,646,814,1056,1374,1749,2142,2540,2924,4523,7465,1342
80,492,511,606,795,1036,1216,1501,1881,2265,2804,4258,7036,948
85,432,450,531,685,832,1096,1396,1740,2221,2532,3150,5393,2949
90,490,520,534,617,780,949,1275,1711,2136,2436,2861,4837,2512
95,445,454,521,584,664,905,1150,1588,1880,2255,2973,3957,1141
100,322,383,390,496,569,713,1012,1395,1739,1927,3042,3111,243
105,229,215,245,309,399,575,846,1216,1438,2002,4158,2808,46
110,186,161,209,228,326,447,823,1054,1295,1598,3587,2454,57
115,181,197,189,238,330,467,803,1061,1323,2621,3431,678,10
120,182,191,207,253,315,480,663,1081,1605,1489,472,34,1
125,183,222,213,261,333,522,617,741,903,1473,2777,402,1
130,351,366,417,443,605,879,1138,1229,1262,1696,3755,1509,8
135,310,285,339,429,587,869,1130,1238,1334,1761,4357,2507,13
140,317,295,307,413,584,924,1081,1225,1310,1847,3861,2947,107
145,322,303,342,421,605,944,1201,1335,1251,1505,3448,3184,141
150,298,299,274,394,583,860,1102,1202,1149,1444,3425,3856,147
155,338,343,349,395,648,977,1103,1225,1148,1404,3344,4020,141
160,309,302,320,394,604,974,1142,1143,1033,1170,2554,4169,344
165,258,249,291,385,518,909,1071,1014,904,1038,2118,3883,332
170,339,342,365,422,631,992,1160,1132,1050,1032,2186,3469,224
175,389,444,429,552,788,1101,1370,1364,1137,1256,2373,4011,309
180,457,471,518,556,833,1193,1421,1493,1308,1283,2547,4265,451
185,407,420,471,576,791,1228,1551,1596,1373,1264,2062,4727,989
190,571,520,513,642,859,1213,1620,1696,1594,1409,2435,5560,1382
195,472,537,566,593,867,1277,1584,1812,1767,1605,2282,5217,1782
200,457,470,492,587,846,1132,1530,1831,1994,1799,2422,4628,2401
205,465,505,520,651,792,1122,1397,1721,1791,1701,2493,4468,1851
210,416,453,479,529,680,993,1290,1453,1432,1514,2545,5526,2070
215,415,426,462,532,707,917,1145,1366,1410,1371,2035,4837,2011
220,400,421,490,615,760,1095,1277,1400,1517,1536,1678,4277,1319
225,357,399,442,566,734,1092,1404,1572,1599,1542,1766,4275,1912
230,403,373,513,595,755,1116,1417,1808,1864,1774,2049,4693,2279
235,418,460,470,575,767,1125,1540,1828,1991,2035,2500,5212,1512
240,452,458,435,575,760,1010,1424,1723,2037,2288,3474,5039,645
245,359,412,467,557,680,918,1188,1462,1743,2019,3667,4306,108
