185,49468.5,14592.6,7650.84,7473.37,13057.9,0.5,0.5,16675,18474,16906,12811,8058,6362,6335,5491,4985,6949,7167,1814,49,4145.74
190,48768.8,15967.3,7116.03,12228.2,6831.75,12741.4,0.5,16793,18293,17302,13200,8582,7186,7497,6633,5484,5162,6931,5744,424,1063.99
195,45066.4,18060.9,8735.67,14051.4,10658.9,10262.3,0.5,15581,17780,17437,13975,9796,8284,8955,8371,6695,5857,8576,6064,286,2268.99
200,45362.2,20044.7,8956.85,12410.8,12542.2,6050.18,0.5,15824,18329,18140,15058,10234,8032,8839,8166,6403,5413,8858,6425,144,4526.91
205,41215.8,17449.3,12026.8,9415.27,19953.7,0.5,0.5,14153,16583,16642,14216,10279,8403,9062,8498,7015,7036,9373,4985,95,4306.34
210,41651.1,19355.4,14018.5,8668.82,17671.9,1100.86,0.5,14455,17160,17510,15405,11797,9041,8693,8520,6655,5805,9145,5692,94,4933.22
215,42281,18743,13583.9,8665.3,15456.7,0.5,0.5,14695,17169,17350,15025,11613,9000,8178,7530,6351,5726,8675,4195,46,5194.05
220,46767.8,19046.5,16879.5,5700.35,16483,0.5,0.5,16229,18524,18654,16481,12887,9502,8103,7039,5740,5897,9461,4066,52,5661.45
225,49879.1,15954.7,14685.5,5361.26,12377,9276.82,0.5,16986,18891,17822,15138,11314,8336,6952,6158,5241,5243,9113,6722,218,3685.6
230,52089.4,19171.4,17747.4,7220.81,11372.7,11000.1,0.5,17766,20352,19974,17070,13566,10339,8225,6999,5924,5165,8755,7675,253,3493.47
235,58782.4,17553.2,21767.4,5976.16,20825.2,790.941,0.5,19701,22069,21178,18171,14466,11486,9730,8676,7101,6449,10611,6168,103,5675.07
240,62747.6,19055.1,23805.8,7368.22,24234.5,829.931,0.5,20894,23679,23085,19323,15784,12894,11058,9813,8426,7984,11047,5308,157,3808.87
