,16,17,18,19,20,21,22,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,fitness
31,0,1237.64,1271.06,2451.21,3678.59,3239.11,5072.36,1e-07,1e-07,580,825,1125,1446,1741,2007,2135,2221,2135,1844,1406,12.2435
50,0,1561.85,1188.18,2889.82,3874.24,4466.95,4525.26,1e-07,1e-07,711,919,1185,1605,1944,2190,2406,2553,2564,2048,1550,29.9394
70,0,883.061,585.118,1267.1,2542.15,2500.01,3015.92,1e-07,1e-07,398,492,599,776,904,1189,1320,1570,1566,1166,1019,55.1782
94,0,842.177,827.672,1709.28,1106.86,1364.91,2519.45,1e-07,1e-07,444,502,720,1087,1126,986,946,929,836,712,680,82.694
110,0,824.128,1284.32,823.226,697.426,919.897,1711.09,1e-07,1e-07,447,629,899,950,866,601,555,566,548,461,467,50.5182
130,0,1978.64,1264.62,414.62,1683.78,65.8819,2314.01,1e-07,1e-07,899,1068,1144,991,715,671,762,682,554,478,453,27.2779
150,0,2543.44,935.978,542.766,1543.36,0.5,2607.93,1e-07,1e-07,1078,1201,1177,905,671,714,698,641,515,486,474,21.9459
178,0,4706.37,1160.93,1551.31,923.978,568.512,2075.46,1e-07,1e-07,1980,2076,1861,1615,1236,1039,763,696,543,468,473,59.6767
187,0,5121.39,1127.28,2469.16,831.298,850.264,1574.02,1e-07,1e-07,2143,2207,2070,1861,1678,1372,1061,763,608,538,387,35.7624
203,0,4833.5,1261.49,2321.15,893.225,0.5,2247.49,1e-07,1e-07,1967,2217,2027,1827,1645,1357,974,631,435,358,417,30.8077
