,16,17,18,19,20,21,22,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,fitness
31,0,1414.6,1086.85,2215.08,3434.23,3438.24,0.5,1e-07,1e-07,663,816,1038,1370,1605,1737,2029,2091,2020,1306,605,40.8812
50,0,3829.62,2491.37,5146.05,6841.62,6301.76,1452.37,1e-07,1e-07,1730,2097,2604,3137,3602,3931,4229,4212,3673,2670,1475,35.0988
70,0,2891.84,842.465,3882.16,5771.5,3631.49,1702.52,1e-07,1e-07,1251,1267,1528,1806,2488,2990,3319,3138,2699,1836,1093,42.1246
94,0,4388.5,2522.19,4847.3,2315.47,2119.46,2602.17,1e-07,1e-07,2034,2228,2760,3168,3217,2837,2303,1867,1494,1120,839,85.1767
110,0,4659.91,3234.18,3064.34,1551.48,1137.06,2891.49,1e-07,1e-07,2099,2633,2977,3009,2582,1997,1566,1154,991,796,697,44.6398
130,0,4633.17,1845.71,1083.52,1664.83,159.488,2844.1,1e-07,1e-07,1994,2207,2228,1707,1306,1035,951,787,631,559,550,42.2558
150,0,4903.35,906.352,788.687,845.7,145.696,2262.15,1e-07,1e-07,2025,2068,1806,1202,882,626,540,464,384,375,432,48.9955
178,0,10959.5,1771.24,2462.32,702.791,752.403,2670.54,1e-07,1e-07,4573,4566,3780,2963,2073,1419,1013,734,631,545,590,116.251
187,0,11715.5,1619.09,2323.49,921.031,789.249,2469.63,1e-07,1e-07,4811,4811,3990,2865,1967,1454,1033,800,654,600,537,74.1743
203,0,12626.8,2912.14,2946.77,317.426,622.825,1094.98,1e-07,1e-07,5347,5442,4874,3791,2674,1681,1045,636,435,332,283,109.454
