,16,17,18,19,20,21,22,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,fitness
10,0,5202.15,6580.9,8591.43,5413.42,1099.63,3376.07,1e-07,1e-07,2552,3778,5163,6208,6318,5576,4478,3291,2141,1430,963,37.9275
31,0,1177.61,1115.41,2716.6,3243.78,2956.66,3945.17,1e-07,1e-07,552,754,1044,1461,1791,1988,2037,2069,1890,1608,1175,14.1915
50,0,672.686,693.428,1532.3,2570.12,2473.25,4502.18,1e-07,1e-07,292,493,614,815,1098,1317,1408,1600,1601,1395,1188,22.7772
70,0,469.568,516.785,1022.5,2058.2,1838.85,3405.84,1e-07,1e-07,213,345,428,601,773,919,1084,1266,1167,1110,872,13.5597
94,0,467.354,179.572,864.662,2009.29,551.732,3169.97,1e-07,1e-07,211,206,318,355,590,860,946,914,851,729,667,32.1647
110,0,502.717,10.7884,1076.97,1046.14,432.436,1858.44,1e-07,1e-07,198,199,214,375,572,690,684,577,516,451,395,6.44329
130,0,301.064,258.194,845.042,596.547,298.248,1796.24,1e-07,1e-07,131,198,265,383,521,520,454,379,354,343,352,8.1768
150,0,233.004,315.512,937.637,70.5652,407.396,1450.71,1e-07,1e-07,118,179,262,491,512,459,288,246,229,269,290,21.6598
178,0,432.079,596.112,1457.64,0.5,453.931,1752.26,1e-07,1e-07,218,330,499,750,884,680,413,287,280,290,359,25.691
187,0,504.339,491.23,1561.75,128.058,360.472,2138.98,1e-07,1e-07,262,301,486,774,887,725,490,326,327,298,457,76.1334
203,0,511.482,317.09,1381.78,680.967,114.145,2358.26,1e-07,1e-07,242,265,399,617,768,779,620,447,371,376,418,22.1274
