b=22.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
10,1097,1603,2552,3778,5163,6208,6318,5576,4478,3291,2141,1430,963
31,253,349,552,754,1044,1461,1791,1988,2037,2069,1890,1608,1175
50,164,231,292,493,614,815,1098,1317,1408,1600,1601,1395,1188
70,179,199,213,345,428,601,773,919,1084,1266,1167,1110,872
94,222,214,211,206,318,355,590,860,946,914,851,729,667
110,174,147,198,199,214,375,572,690,684,577,516,451,395
130,188,156,131,198,265,383,521,520,454,379,354,343,352
150,121,122,118,179,262,491,512,459,288,246,229,269,290
178,255,220,218,330,499,750,884,680,413,287,280,290,359
187,258,232,262,301,486,774,887,725,490,326,327,298,457
203,213,191,242,265,399,617,768,779,620,447,371,376,418
