b=-27.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
31,156,231,335,464,754,947,1143,1452,1657,1785,1806,1501,1261
50,166,228,316,433,566,762,1012,1311,1490,1667,1695,1535,1233
70,91,142,166,219,241,418,460,640,757,907,942,809,644
94,113,103,127,172,200,274,281,374,505,614,648,589,533
110,66,67,92,119,140,194,218,323,428,488,497,386,391
130,67,78,99,111,116,151,147,229,298,318,287,267,263
150,72,75,100,127,140,147,187,337,403,348,329,300,308
178,248,299,351,375,360,346,449,560,505,502,578,587,358
187,258,278,304,332,299,325,399,510,535,481,487,492,388
203,202,181,222,280,268,255,325,420,394,335,252,253,302
