b=-17.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
31,278,400,580,825,1125,1446,1741,2007,2135,2221,2135,1844,1406
50,411,598,711,919,1185,1605,1944,2190,2406,2553,2564,2048,1550
70,358,370,398,492,599,776,904,1189,1320,1570,1566,1166,1019
94,395,406,444,502,720,1087,1126,986,946,929,836,712,680
110,359,373,447,629,899,950,866,601,555,566,548,461,467
130,560,697,899,1068,1144,991,715,671,762,682,554,478,453
150,642,912,1078,1201,1177,905,671,714,698,641,515,486,474
178,1318,1736,1980,2076,1861,1615,1236,1039,763,696,543,468,473
187,1509,1834,2143,2207,2070,1861,1678,1372,1061,763,608,538,387
203,1277,1719,1967,2217,2027,1827,1645,1357,974,631,435,358,417
